kpi_id,name,simple_definition,why_it_matters,business_value,formula,dax_formula,target_range,data_required,calculation_frequency,category
REV_001,Revenue Per Available Room (RevPAR),"How much revenue is earned from each available room, whether sold or empty. Think of it like: if you have 100 rooms and earn $10,000 total, RevPAR = $100.",Shows how efficiently your hotel property generates revenue from its room inventory. Higher RevPAR means you're making better use of your physical space.,"Helps pricing decisions: if RevPAR is low, you may need to lower prices or attract more customers. Used to compare hotel performance to competitors.",RevPAR = Total Room Revenue ÷ Total Rooms Available,"[RevPAR] = DIVIDE([Total Room Revenue], [Rooms Available], 0)","$40-$150 (budget: $40-60, mid-range: $60-120, luxury: $120-150+)","['Total Room Revenue (from Fact_Bookings)', 'Total Rooms Available (from Dim_Hotel)']",Daily / Weekly / Monthly,Revenue Performance KPIs
REV_002,Total Commission Revenue,Total money earned from commissions on all bookings. OTAs make money by taking a percentage fee (typically 15-25%) from each hotel booking.,This is the OTA's main revenue source. Growing commission revenue means the business is scaling and becoming profitable.,"Determines business viability; without healthy commission revenue, the OTA cannot sustain operations. Tracks top-line business growth.",Commission Revenue = SUM(Booking Amount × Commission Percentage),"[Commission Revenue] = SUMPRODUCT([Booking Amount], [Commission %])",15-25% of Gross Booking Value (varies by hotel partner agreement),"['Booking Amount (Fact_Bookings)', 'Commission % (Dim_Competitor or negotiated rate)']",Daily / Monthly / Quarterly,Revenue Performance KPIs
REV_003,Average Booking Value (ABV),"Average amount a customer pays per booking. If 100 customers book and spend $20,000 total, ABV = $200.",Reflects customer willingness to pay and hotel quality mix. Higher ABV may indicate luxury segment success or seasonal premium pricing.,Guides pricing strategy and customer segmentation. Helps identify which customer segments are most valuable.,ABV = Total Booking Revenue ÷ Number of Bookings,"[ABV] = DIVIDE([Total Booking Revenue], COUNTA([Booking ID]), 0)","$70-$400 (depends heavily on city: Mecca Hajj can see $300+, Riyadh business typical $100-200)","['Total Booking Revenue (Fact_Bookings)', 'Booking Count (Fact_Bookings)']",Daily / Weekly,Revenue Performance KPIs
REV_004,Revenue Per Booking,Average revenue earned by the OTA per booking transaction (commission revenue only).,Measures OTA's earnings efficiency per transaction. Helps optimize commission structures and hotel partnerships.,"Determines if commission rate is sustainable; if too low, partnerships become unprofitable.",Revenue Per Booking = Total Commission Revenue ÷ Total Bookings,"[Revenue Per Booking] = DIVIDE([Commission Revenue], [Booking Count], 0)",$10-$100 per booking (depends on commission % and ABV),"['Commission Revenue', 'Booking Count']",Daily / Weekly,Revenue Performance KPIs
REV_005,Revenue Per Customer,Total revenue generated from each customer on average. Tracks how much value each customer brings to the OTA.,Identifies most valuable customer segments and guides marketing spend. A customer worth $500 needs different treatment than one worth $50.,Drives customer acquisition and retention strategies. Helps prioritize loyalty program focus.,Revenue Per Customer = Total Commission Revenue ÷ Unique Customers,"[Revenue Per Customer] = DIVIDE([Commission Revenue], DISTINCTCOUNT([Customer ID]), 0)",$50-$500 (highly variable by loyalty tier and booking frequency),"['Commission Revenue', 'Unique Customer Count']",Monthly / Quarterly,Revenue Performance KPIs
REV_006,Gross Booking Value (GBV),Total value of all bookings before any deductions or commissions. Raw transaction volume in dollars.,Indicates total market volume the OTA is transacting. Growing GBV = business expansion.,Top-line metric for board/investor reporting. Shows market penetration and competitive positioning.,GBV = SUM(All Booking Amounts),[GBV] = SUM([Booking Amount]),"$100,000-$5,000,000/month (depends on scale: startup vs. established player)",['Booking Amount (Fact_Bookings)'],Daily / Monthly,Revenue Performance KPIs
REV_007,Average Daily Rate (ADR),"Average nightly room rate across all bookings. If 100 nights are sold at rates ranging $50-200, ADR = average of all rates.",Shows pricing power and hotel quality mix. Rising ADR (without volume loss) = healthy business.,Competitive benchmarking tool. Compare your ADR to competitors' to assess pricing strategy effectiveness.,ADR = Total Room Revenue ÷ Total Nights Booked,"[ADR] = DIVIDE([Total Room Revenue], [Total Nights Booked], 0)","$50-$300/night (Mecca Hajj: $200+, Riyadh business: $100-150, Jeddah leisure: $80-150)","['Total Room Revenue', 'Total Nights Booked (Fact_Bookings)']",Daily / Weekly,Revenue Performance KPIs
CUST_001,Conversion Rate (Search to Booking),"% of people who search for hotels that actually complete a booking. If 1000 people search and 20 book, conversion = 2%.",Measures effectiveness of OTA's website/app in turning interest into sales. Low conversion = bad UX or pricing issues.,Guides product improvements. A 1% improvement in conversion can increase revenue 10%+ without more marketing spend.,Conversion Rate = (Bookings ÷ Searches) × 100,"[Conversion Rate %] = DIVIDE([Booking Count], [Search Count], 0) * 100","2-5% (industry average: 2-3%, luxury hotels: 3-5%, budget: 1-2%)","['Booking Count (Fact_Bookings)', 'Search Count (Fact_Searches)']",Daily / Weekly,Customer Behavior KPIs
CUST_002,Booking Lead Time,"Average number of days before check-in that a booking is made. If someone books 14 days before arrival, lead time = 14 days.",Helps forecast demand and plan inventory. Last-minute bookers vs. planners need different marketing approaches.,"Enables revenue management: last-minute bookings can command premium prices, while advance bookings drive volume.",Booking Lead Time = AVG(Check-In Date - Booking Date),"[Avg Lead Time Days] = AVERAGEX([Fact_Bookings], [Days_Between_Booking_And_Checkin])","14-30 days average (ranges: last-minute 0-3 days, advance 30+ days)","['Booking Date (Fact_Bookings)', 'Check-In Date (Fact_Bookings)']",Weekly / Monthly,Customer Behavior KPIs
CUST_003,Customer Lifetime Value (CLV),Total revenue a customer is expected to generate over their entire relationship with the OTA.,Identifies high-value customers worth investing in. A customer with $500 CLV justifies $100+ acquisition spend.,Drives loyalty program ROI. Focus on customers with high CLV for retention efforts.,CLV = (Avg Revenue Per Customer) × (Years as Customer) - (Acquisition Cost),[CLV] = ([Revenue Per Customer] * [Years as Customer] - [Acquisition Cost]),"$200-$2000 (high-value loyalty members: $1000+, occasional bookers: $200-500)","['Revenue Per Customer', 'Customer Age', 'Acquisition Cost']",Monthly / Quarterly,Customer Behavior KPIs
